epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
96,884.086,0.93382,1.46007,0.63038,1.11417,0,0.9537,0.97938,0.97329,0.78869,0.96374,0.98969,0.9851,0.70729,0.84218,1.28308,0.43408,1.08442,0,0.000746,0.000746,0.000746
97,893.171,0.92503,1.46015,0.64344,1.12452,0,0.8996,0.93299,0.95709,0.72756,0.90457,0.93814,0.96433,0.63829,0.9218,1.5421,0.53141,1.16707,0,0.0007328,0.0007328,0.0007328
98,902.251,0.915,1.42362,0.61004,1.10666,0,0.9552,0.98922,0.98614,0.79896,0.96017,0.9942,0.99018,0.7177,0.81813,1.2479,0.41557,1.08103,0,0.0007196,0.0007196,0.0007196
99,911.482,0.89622,1.40647,0.58398,1.09609,0,0.96966,0.98857,0.98725,0.7954,0.97472,0.99372,0.99175,0.70792,0.84893,1.26959,0.43077,1.11182,0,0.0007064,0.0007064,0.0007064
100,920.606,0.92365,1.43046,0.6147,1.10288,0,0.96205,0.98454,0.98271,0.79886,0.96708,0.98969,0.98715,0.71824,0.8251,1.24888,0.43467,1.09019,0,0.0006932,0.0006932,0.0006932
101,929.774,0.89564,1.44785,0.60157,1.09757,0,0.96391,0.98969,0.98995,0.80468,0.96894,0.99485,0.99258,0.71897,0.81376,1.30344,0.39353,1.07449,0,0.00068,0.00068,0.00068
102,938.854,0.90894,1.43232,0.59804,1.09671,0,0.98413,0.99485,0.99175,0.81783,0.98413,0.99485,0.99175,0.71691,0.76482,1.26383,0.37016,1.04547,0,0.0006668,0.0006668,0.0006668
103,948.073,0.88831,1.43812,0.59124,1.09656,0,0.97302,0.98969,0.98988,0.81566,0.97809,0.99485,0.99401,0.72944,0.78461,1.23328,0.37825,1.063,0,0.0006536,0.0006536,0.0006536
104,957.205,0.87474,1.36708,0.57354,1.08919,0,0.98958,0.97935,0.98898,0.80615,0.97949,0.98469,0.99072,0.72867,0.78803,1.22896,0.38254,1.06677,0,0.0006404,0.0006404,0.0006404
105,966.278,0.89603,1.36211,0.57535,1.09083,0,0.94294,0.97938,0.98456,0.78032,0.94294,0.97938,0.98456,0.67446,0.91214,1.41231,0.43727,1.16049,0,0.0006272,0.0006272,0.0006272
106,975.568,0.87951,1.42645,0.57858,1.08684,0,0.97939,0.97994,0.99081,0.79399,0.97939,0.97994,0.99114,0.71115,0.82118,1.28678,0.4018,1.08703,0,0.000614,0.000614,0.000614
107,984.574,0.93454,1.51535,0.64292,1.11972,0,0.9771,0.98454,0.99059,0.8061,0.9771,0.98454,0.99097,0.72599,0.80895,1.24192,0.45886,1.07412,0,0.0006008,0.0006008,0.0006008
108,993.63,0.87587,1.40817,0.57763,1.08728,0,0.96968,0.97423,0.99009,0.79961,0.97481,0.97938,0.99019,0.71165,0.80202,1.30475,0.39802,1.07888,0,0.0005876,0.0005876,0.0005876
109,1002.7,0.86821,1.36942,0.57982,1.08646,0,0.98586,0.98454,0.98863,0.78698,0.99102,0.98969,0.99293,0.71849,0.85033,1.30458,0.40586,1.10625,0,0.0005744,0.0005744,0.0005744
110,1011.63,0.88425,1.38687,0.57046,1.09635,0,0.98961,0.98235,0.99016,0.79027,0.98961,0.98235,0.99016,0.67081,0.84768,1.3984,0.38649,1.08489,0,0.0005612,0.0005612,0.0005612
111,1020.72,0.88526,1.4077,0.58405,1.10148,0,0.98665,0.98454,0.98781,0.80709,0.99181,0.98969,0.99248,0.72648,0.79247,1.24034,0.38394,1.07554,0,0.000548,0.000548,0.000548
